Time(s),T1,T2,T3,T4,T5,T6,T7,V1,V2,V3,V4,P
191,58.75,57.75,39.00,58.00,62.00,37.50,0.00,0,0,1,1,"354
"
192,58.75,57.50,38.75,58.00,61.75,37.50,0.00,0,1,0,0,"354
"
193,58.75,56.50,39.00,58.00,62.00,37.75,0.00,0,0,1,1,"353
"
194,58.75,56.25,38.75,58.50,61.75,37.50,0.00,1,1,0,0,"353
"
195,58.75,55.25,38.50,58.50,61.50,37.75,0.00,1,0,1,1,"353
"
196,59.00,55.25,38.75,58.25,62.25,37.00,0.00,1,0,0,0,"353
"
197,59.00,55.00,39.00,58.50,62.50,37.00,0.00,0,0,1,1,"353
"
198,59.00,54.75,38.50,58.50,62.25,37.25,0.00,1,1,1,0,"353
"
199,59.00,55.00,39.00,58.50,61.75,37.00,0.00,1,1,1,1,"353
"
200,58.50,54.25,39.25,58.50,62.00,37.50,0.00,1,1,1,1,"353
"
201,59.00,55.00,39.00,58.50,62.50,37.25,0.00,0,1,1,1,"353
"
202,58.75,53.75,39.25,58.75,62.25,37.50,0.00,1,1,1,0,"354
"
203,59.00,54.00,39.00,58.75,62.50,37.75,0.00,1,1,1,1,"353
"
204,59.25,53.75,39.00,58.75,62.50,37.75,0.00,1,1,1,0,"353
"
205,00,55.25,39.25,58.75,62.75,37.75,0.00,0,1,1,0,"353
"
206,59.00,54.25,38.75,59.00,62.25,37.25,0.00,1,0,0,1,"353
"
207,59.00,54.50,39.00,59.00,62.75,37.75,0.00,1,1,0,1,"353
"
208,59.25,54.50,38.75,58.50,62.50,37.50,0.00,1,0,1,1,"353
"
209,59.25,54.25,39.00,59.00,62.50,37.75,0.00,0,1,0,1,"353
"
210,59.25,53.75,39.00,59.00,62.75,37.25,0.00,1,1,0,1,"353
"
211,59.00,53.75,39.00,59.00,63.00,37.75,0.00,0,0,0,0,"353
"
212,59.25,55.25,39.00,59.00,62.75,37.50,0.00,1,1,1,1,"353
"
213,59.00,55.25,38.50,58.75,62.75,37.75,0.00,0,1,1,1,"353
"
214,59.25,55.50,38.75,58.75,62.50,37.50,0.00,1,1,0,0,"353
"
215,59.25,55.25,39.00,59.25,62.75,37.75,0.00,1,0,0,0,"353
"
