Time(s),Cylinder 1,Cylinder 2,Cylinder 3,Cylinder 4,Water Outlet,Water Inlet,V1,V2,V3,V4,,
183,68.75,63.75,57.5,63.75,41,40.25,0,1,0,1,,
184,68.75,64,56.25,64,41,40,0,1,0,0,,
185,69,64,57.75,64,40.75,40.25,1,0,0,1,,
186,69,64,57.25,64,41,39.75,0,0,0,1,,
187,68.5,64,57.75,64,41,40.25,0,1,1,0,,
188,68.75,64.75,57,64.75,40.5,39.75,0,0,1,1,,
189,69,64.5,57.25,64.5,40.75,39.75,1,0,0,0,,
190,68.5,64.25,57.75,64.25,41,40.25,1,0,0,1,,
191,69,64.5,58,64.5,40.75,40,0,1,0,0,,
192,68.75,64.5,57.75,64.5,40.75,40,0,1,1,1,,
193,68.75,64,58,64,40.25,40.5,0,0,0,0,,
194,69,64.75,58,64.75,40.75,40.25,0,0,0,0,,
195,69.25,64.75,58.25,64.75,41,40.25,0,0,0,0,,
196,69.25,65,58.5,65,40.5,39.75,0,1,0,0,,
197,69.5,64.75,58.5,64.75,40.75,39.75,0,0,0,1,,
198,69.5,64.75,58,64.75,40.5,39.5,0,1,0,1,,
199,69.25,65,58.25,65,40.25,39.75,0,1,0,1,,
200,69.5,64.75,58.5,64.75,40.75,39.5,0,0,0,0,,
201,69.5,64.75,58.25,64.75,40.75,40,0,1,1,0,,
202,69.75,64.5,58.5,64.5,40.5,39.75,0,1,0,1,,
203,69.75,64.75,59,64.75,40.5,39.75,1,1,1,1,,
204,70,64.75,58.75,64.75,40.5,40,0,1,1,0,,
205,70,65,59,65,41,39.75,0,0,0,1,,
206,70,64.75,59.25,64.75,40.25,39.75,1,1,0,0,,
207,70,65,58.25,65,40.25,39.75,0,0,0,0,,
208,69.5,65.25,58.75,65.25,40.5,39.75,0,1,0,0,,
209,69.75,64.75,59,64.75,40.75,39.75,0,0,0,1,,
210,69.5,65,59,65,40.25,39.75,0,0,0,0,,
211,69.75,64.75,59,64.75,40,39.5,0,1,0,1,,
212,70.25,64.75,59,64.75,40.5,39.75,0,0,0,0,,
213,70,65,58.75,65,40.5,39.75,1,1,1,0,,
214,70.25,65,58.5,65,40.75,40,0,0,0,1,,
215,70.25,65,58.5,65,40.25,39.25,0,0,0,0,,
216,70,65,59.25,65,40.5,39.25,0,1,1,0,,
217,70.5,65,58.75,65,40.5,39.75,0,0,0,1,,
218,70.25,65.25,58.75,65.25,40.5,39.25,0,1,0,1,,
219,69.75,64.75,59.25,64.75,40.25,39.25,0,1,0,1,,
220,70.5,64.75,59.25,64.75,40.25,38.5,0,1,0,0,,
221,70,65,59.25,65,40.5,39.25,0,0,0,1,,
222,70.5,65.25,59.25,65.25,40.5,39.25,0,0,0,0,,
223,70.5,65.25,59.25,65.25,40.75,39.25,0,0,0,1,,
224,70.5,65.25,59.25,65.25,40.75,39.25,0,1,0,1,,
225,70.5,65.25,59.5,65.25,40.75,39.5,0,0,1,0,,
226,70.5,65.25,59,65.25,40.25,39.5,0,0,0,1,,
227,70.5,65,59,65,40.5,39.25,1,1,1,0,,
228,70.25,65.25,59.5,65.25,40.75,38.25,0,0,0,0,,
229,70.5,65.5,59.25,65.5,40.75,39.25,0,0,0,0,,
230,70.75,65,59.5,65,40.75,39,0,1,0,1,,
231,70.5,65.5,59.5,65.5,40.75,39,0,0,0,0,,
232,70.75,64.5,59.5,64.5,40.5,39,0,0,0,0,,
233,71,65.5,59.25,65.5,40.75,39,0,1,0,1,,
234,71,65.5,59.75,65.5,40.5,39.25,0,0,0,1,,
235,71,65.75,59.5,65.75,40.75,39,1,1,0,1,,
236,71,65.75,59.5,65.75,40.75,39.25,1,1,0,0,,
237,70.75,65.5,58.75,65.5,40.25,39,1,1,1,0,,
238,71,65.5,59.5,65.5,40.5,39,0,0,0,0,,
239,70.75,65,59.75,65,40.5,38.75,0,1,1,1,,
240,71.25,65.5,59.75,65.5,40.25,38.5,0,0,0,0,,
241,71,65.25,59.75,65.25,40.25,38.5,0,1,0,0,,
242,71,65.5,59.5,65.5,40.75,39,0,0,0,0,,
243,70.5,65.5,59.25,65.5,40.5,39.25,1,0,0,0,,
244,71.25,65,59.5,65,40.5,38.5,1,1,0,1,,
245,71,65.5,59.75,65.5,40.5,38.75,0,0,0,0,,
246,71.5,65.5,60,65.5,40.5,38.5,0,1,0,1,,
247,70.75,66,60,66,40.75,38.75,0,1,0,1,,
248,71.25,65.5,59.75,65.5,40.75,38.5,0,0,0,0,,
249,71.5,65.25,60.25,65.25,40.25,39,0,1,0,1,,
250,71.25,65.5,60,65.5,40.5,39,1,0,1,0,,
251,71.25,65.75,60,65.75,40.25,38.5,1,0,0,0,,
252,71,65.75,59.75,65.75,40.25,38.75,0,0,1,1,,
253,71.25,65.75,60,65.75,40.25,38,1,0,0,0,,
254,71.25,65.5,60,65.5,40.25,38.25,0,0,0,1,,
255,71.25,65.75,59.75,65.75,40.25,38.75,0,0,0,0,,
256,71.5,66,59.75,66,40.25,38.25,0,1,0,0,,
257,70.75,65.5,59.5,65.5,40.25,38.5,0,0,0,0,,
258,71.5,65.25,60,65.25,40.25,38.25,1,1,0,1,,
259,70.75,65.75,60,65.75,39.75,38,0,0,0,0,,
260,71.5,65.25,60,65.25,40.25,38.75,0,0,1,0,,
261,71.5,65.5,60,65.5,40.25,38.5,0,0,0,1,,
262,71.25,66,59.75,66,40.25,37.5,1,0,1,1,,
263,71.5,65.25,59.5,65.25,40.25,38.25,0,1,0,1,,
264,71.5,65.75,60,65.75,40,38.5,0,1,0,1,,
265,71.5,65.25,60.25,65.25,40,37.75,0,0,0,0,,
266,71,65.75,60,65.75,40,38.5,0,0,0,0,,
267,71.5,65.75,60,65.75,40,38.25,0,0,1,0,,
268,71.5,65.75,60,65.75,40,38.25,0,0,0,1,,
269,71.75,65.5,59.5,65.5,40,38.25,0,0,1,1,,
270,71.5,65,59.5,65,40,38.5,0,1,0,0,,
271,71.75,65.75,60,65.75,40.25,38.25,0,0,0,0,,
272,71.75,66,60,66,39.75,38.25,0,1,0,0,,
273,71.75,65.5,59.5,65.5,40,38.25,0,0,1,1,,
274,71.75,65.25,60,65.25,40,38,1,0,0,1,,
275,71.75,65.75,60,65.75,39.75,38.25,0,0,0,0,,
276,72,65.75,59.75,65.75,40.25,37.75,1,1,0,1,,
277,71.75,65.75,60,65.75,40,38,0,0,0,0,,
278,71.75,65.75,60,65.75,39.75,37.75,1,1,0,1,,
279,71.5,65.75,59.75,65.75,39.75,37.75,0,0,0,0,,
280,71.75,65.75,60,65.75,39.75,38,0,0,0,1,,
281,71.5,65.75,60,65.75,40,38,0,0,0,0,,
282,71.75,65.5,59.75,65.5,39.75,37.75,1,0,0,1,,
283,71.75,66,59.75,66,39.75,38.25,0,0,0,0,,
284,71.75,65.5,60,65.5,39.75,38.25,1,0,1,1,,
285,72,65.75,59.5,65.75,39.75,38.25,0,1,0,1,,
286,71.75,66,60.25,66,39.5,38.25,0,1,0,0,,
287,71.75,66,60,66,40,38,0,1,0,0,,
288,71.75,66,60.25,66,39.75,38,0,1,0,1,,
289,72,65.5,60,65.5,39.75,37.75,0,0,0,0,,
290,71.5,65.5,60.25,65.5,39.75,37.75,0,0,0,0,,
291,71.5,66,60.25,66,39.25,38,0,1,0,1,,
292,72.25,65.5,60.5,65.5,39.75,38,0,0,0,0,,
293,71.75,65.75,60,65.75,39.5,37.75,0,1,0,0,,
294,72,66.25,59.75,66.25,39.75,37.75,0,0,0,0,,
295,72,65.75,60,65.75,39.75,38,0,0,0,0,,
296,72,66.25,60.25,66.25,39.25,38,0,0,0,0,,
297,71.75,66,59.75,66,39.75,38,1,0,0,1,,
298,71.5,65.5,59.75,65.5,39.5,38.25,0,1,0,0,,
299,71.75,66.25,60.25,66.25,39.75,38,0,1,1,1,,
300,72.25,66,60,66,39.5,37.75,0,0,0,0,,
301,71.75,66.25,60,66.25,39.5,38,0,1,0,0,,
302,72,66.25,60.25,66.25,39.75,38,0,1,0,0,,
303,72,66.25,60,66.25,39.5,37.5,1,0,0,0,,
304,72.5,66,60.25,66,39.25,38,0,0,0,1,,
305,72.5,66.5,60.5,66.5,39,37.5,0,1,0,0,,
306,72,66.25,60,66.25,39.25,37.75,0,0,0,1,,
307,72.25,65.75,60,65.75,39,37.5,0,1,0,0,,
